card_id,card_scheme,product,subproduct,subproduct_rank
5E8080208ECA,mada,Debit,N/A,0
E4D46BBBEFFB,mada,Debit,N/A,0
34B890AEB2BE,Dual,Debit,Platinum,2
EED9CDDC1D0B,mada,Debit,N/A,0
1143190590EB,Visa,Credit,Classic,1
97211278CBCD,Visa,Credit,Signature,3
B0FAFB6B23D9,Visa,Credit,Signature,3
E0C72F42F508,Dual,Debit,Classic,1
739318E65892,Visa,Credit,Platinum,2
1405969F504B,Visa,Debit,Platinum,2
00370805831A,Visa,Prepaid,Classic,1
320243DF6F6E,Visa,Debit,Platinum,2
7CB7F6EABE50,Dual,Debit,Platinum,2
8E69BE2E311F,mada,Debit,N/A,0
E3F80D187F4C,Visa,Debit,Signature,3
42357C05E4BE,Visa,Debit,Classic,1
E76336A4ED4B,mada,Debit,N/A,0
64259F891608,Visa,Credit,Platinum,2
EFD4E04D009D,mada,Debit,N/A,0
722D0B6A0D79,mada,Debit,N/A,0
99E79F5C45E2,Visa,Credit,Platinum,2
CE40919F6315,Visa,Credit,Platinum,2
F79D9E58A2BA,Visa,Credit,Platinum,2
422DA5A95FC2,Visa,Prepaid,Platinum,2
636057812072,Visa,Debit,Platinum,2
5203AF97245A,Dual,Prepaid,Classic,1
4E3C93942D6C,mada,Debit,N/A,0
AD71BB1636A9,Visa,Debit,Classic,1
650A6582DCC3,Visa,Debit,Classic,1
C3A3A9EBBD21,Visa,Debit,Platinum,2
53BBD4C0F31D,mada,Debit,N/A,0
397DC21514C1,Visa,Prepaid,Classic,1
2362B7DBD38C,Visa,Credit,Platinum,2
78F3C9A37BCD,Visa,Prepaid,Classic,1
37516C8A0305,Visa,Debit,Classic,1
5C958687A93D,Visa,Prepaid,Platinum,2
1AC2CBC21FD5,Visa,Credit,Classic,1
09CE9D971CA9,Visa,Credit,Platinum,2
315ABC326530,Visa,Credit,Signature,3
BC04D400FC26,mada,Debit,N/A,0
0CC7A7417397,mada,Debit,N/A,0
49AB746051F7,Dual,Prepaid,Classic,1
41ADA33CA30D,Visa,Debit,Classic,1
C4CBDA6A9D7B,Visa,Debit,Classic,1
9A6A6BB44C3D,Visa,Debit,Platinum,2
850951175331,mada,Credit,N/A,0
255D87EBB82F,Visa,Credit,Classic,1
40C928F26A87,mada,Debit,N/A,0
D94C97EFD62A,Visa,Debit,Classic,1
7B1651F24419,Visa,Debit,Classic,1
2DF9615832ED,Visa,Credit,Classic,1
9402C766C8DC,Visa,Credit,Classic,1
5C26D0771760,Visa,Credit,Platinum,2
817878A3F340,mada,Debit,N/A,0
2883A8CEB796,Visa,Debit,Classic,1
